vendor_id,passenger_count,store_and_fwd_flag,pickup_hour,pickup_day_of_week,pickup_month,is_weekend,distance_km
1,4,N,9,2,2,0,1.0466176886163747
1,1,N,8,5,3,1,2.9531972469859467
2,2,N,7,4,2,0,9.487329732740903
1,1,N,7,0,2,0,7.069006266140393
2,2,N,15,0,2,0,1.5309354499936243
1,2,N,7,1,3,0,1.4712096383831132
1,1,N,8,4,4,0,3.4056477969797743
1,1,N,8,4,4,0,1.769100897730174
2,2,N,14,3,1,0,1.2499257110171136
1,1,N,19,3,3,0,3.8659681862886384
2,1,N,9,1,5,0,1.4702667904346556
2,1,N,16,1,5,0,0.6480784461443841
1,2,N,15,0,3,0,1.1798568926230502
1,1,N,8,6,1,1,1.6544593332198554
1,1,N,7,1,4,0,2.18543513036932
1,1,N,7,6,4,1,3.3747515742373446
1,1,N,10,5,4,1,5.515703373731882
1,1,N,13,4,3,0,1.4768409577426171
2,5,N,9,2,5,0,1.6871563731153576
2,1,N,22,1,3,0,3.4991727912621786
1,1,N,19,6,1,1,2.700697732291319
1,3,N,9,3,5,0,1.8244135196721896
1,1,N,21,1,4,0,0.85287686763297
2,1,N,19,5,4,1,1.5501772478520488
1,1,N,17,6,3,1,4.246327018163412
2,2,N,7,5,3,1,5.236434389154651
1,3,N,14,6,5,1,2.071035709541684
1,2,N,18,4,5,0,13.915121808278354
2,4,N,13,0,3,0,1.022388191314073
2,2,N,20,3,4,0,11.534950119070045
2,1,N,19,6,4,1,0.3486896926155424
2,1,N,7,1,2,0,2.914638327836406
2,1,N,23,3,2,0,2.4802956782125936
1,2,N,19,5,1,1,2.084202433985822
2,1,N,8,4,4,0,0.9567751666348204
2,1,N,19,1,1,0,7.000530493602418
2,2,N,9,6,4,1,4.515209584209093
1,2,N,21,2,3,0,7.139437287770797
2,2,N,8,0,3,0,2.2785530743210725
2,1,N,1,3,1,0,1.089057091050543
2,1,N,15,4,4,0,2.0961188014976315
2,3,N,7,1,4,0,5.880750813063697
1,1,Y,7,0,5,0,3.451757378399393
1,1,N,11,6,1,1,2.849189087791398
1,1,N,17,1,1,0,3.8541211479022497
1,2,N,9,5,1,1,2.11318504739984
2,2,N,14,4,3,0,4.561626936935538
1,4,N,7,0,5,0,1.0768926539366317
2,1,N,8,3,3,0,2.810365588392556
1,1,N,18,5,2,1,1.589803548185754
1,1,N,8,5,4,1,2.6627210418560594
2,1,N,14,0,5,0,2.053904064266283
1,3,N,8,0,1,0,3.100458782964262
1,1,N,8,5,4,1,1.532409951591291
2,1,N,17,5,2,1,3.001303487823946
1,2,N,8,3,3,0,1.8561285205202955
2,1,N,17,4,4,0,18.620710477554443
1,1,N,9,1,4,0,5.821052091479972
1,1,N,17,5,5,1,3.7436744019305994
1,1,N,18,6,1,1,2.627705507242359
2,5,N,11,6,1,1,19.27890191121461
2,1,N,10,6,4,1,2.3389044325448625
1,1,N,16,2,2,0,1.301512705795386
2,2,N,20,2,1,0,1.1989227867267456
