vendor_id,passenger_count,store_and_fwd_flag,pickup_hour,pickup_day_of_week,pickup_month,is_weekend,distance_km
1,4,N,20,2,2,0,0.7752723619380553
1,1,N,14,5,3,1,2.1875535162858863
2,2,N,0,4,2,0,7.027651653882152
1,1,N,10,0,2,0,5.236300937881772
2,2,N,15,0,2,0,1.5309354499936243
1,2,N,18,1,3,0,1.0897849173208245
1,1,N,20,4,4,0,2.5227020718368696
1,1,N,21,4,4,0,1.3104451094297584
2,2,N,14,3,1,0,1.2499257110171136
1,1,N,21,3,3,0,2.863680137991584
2,1,N,18,1,5,0,1.089086511433078
2,1,N,16,1,5,0,0.6480784461443841
1,2,N,15,0,3,0,1.1798568926230502
1,1,N,21,6,1,1,1.2255254320147075
1,1,N,20,1,4,0,1.618840837310607
1,1,N,18,6,4,1,2.4998159809165514
1,1,N,10,5,4,1,5.515703373731882
1,1,N,13,4,3,0,1.4768409577426171
2,5,N,14,2,5,0,1.2497454615669314
2,1,N,22,1,3,0,3.4991727912621786
1,1,N,1,6,1,1,2.00051683873431
1,3,N,13,3,5,0,1.3514174219793995
1,1,N,21,1,4,0,0.85287686763297
2,1,N,18,5,4,1,1.1482794428533694
1,1,N,16,6,3,1,3.1454274208617865
2,2,N,6,5,3,1,3.878840288262704
1,3,N,14,6,5,1,2.071035709541684
1,2,N,10,4,5,0,10.307497635761743
2,4,N,13,0,3,0,1.022388191314073
2,2,N,20,3,4,0,11.534950119070045
2,1,N,19,6,4,1,0.3486896926155424
2,1,N,15,1,2,0,2.158991353952893
2,1,N,23,3,2,0,2.4802956782125936
1,2,N,19,5,1,1,2.084202433985822
2,1,N,20,4,4,0,0.7087223456554225
2,1,N,17,1,1,0,5.185578143409198
2,2,N,0,6,4,1,3.344599692006735
1,2,N,21,2,3,0,7.139437287770797
2,2,N,13,0,3,0,1.6878170920896831
2,1,N,1,3,1,0,1.089057091050543
2,1,N,15,4,4,0,2.0961188014976315
2,3,N,18,1,4,0,4.356111713380516
1,1,Y,20,0,5,0,2.5568573173328835
1,1,N,11,6,1,1,2.849189087791398
1,1,N,15,1,1,0,2.854904554001666
1,2,N,14,5,1,1,1.5653222573332144
2,2,N,14,4,3,0,4.561626936935538
1,4,N,9,0,5,0,0.7976982621752827
2,1,N,12,3,3,0,2.081752287698189
1,1,N,8,5,2,1,1.1776322579153733
1,1,N,7,5,4,1,1.9723859569304143
2,1,N,14,0,5,0,2.053904064266283
1,3,N,8,0,1,0,2.296636135529083
1,1,N,18,5,4,1,1.1351184826602154
2,1,N,0,5,2,1,2.2231877687584785
1,2,N,14,3,3,0,1.3749100152002187
2,1,N,9,4,4,0,13.79311887226255
1,1,N,9,1,4,0,5.821052091479972
1,1,N,6,5,5,1,2.773092149578221
1,1,N,1,6,1,1,1.9464485238832288
2,5,N,11,6,1,1,19.27890191121461
2,1,N,10,6,4,1,2.3389044325448625
1,1,N,16,2,2,0,1.301512705795386
2,2,N,20,2,1,0,1.1989227867267456
2,2,N,11,6,1,1,2.130123204189921
2,2,N,23,3,4,0,4.247588079477665
2,1,N,9,3,2,0,1.2734200911485298
1,1,N,14,1,4,0,1.2389045702193977
2,5,N,1,4,1,0,1.204063036099461
1,1,N,9,2,4,0,1.849159231190584
2,6,N,16,3,3,0,17.23496672937601
2,1,N,23,2,2,0,17.24573431081408
2,1,N,0,6,1,1,0.5209577252628331
1,1,N,16,3,2,0,1.0442671176074092
2,2,N,16,4,2,0,0.930830297614746
1,3,N,13,1,1,0,0.8327808262075511
2,2,N,17,5,4,1,0.93306626117656
2,1,N,19,1,5,0,3.022385870768678
2,2,N,17,0,2,0,0.7912488367450237
1,1,N,14,2,4,0,3.484076176273261
2,4,N,10,0,3,0,2.7752178809780244
2,2,N,12,4,2,0,1.0375482703127683
2,2,N,1,1,1,0,6.994324997467151
1,2,N,15,1,5,0,2.105627094513352
1,1,N,13,0,4,0,3.3024151205659127
2,2,N,11,4,5,0,6.032257123037469
2,1,N,23,1,4,0,2.714803414624406
2,3,N,2,5,1,1,1.813661291260504
1,1,N,19,6,1,1,0.3500711547238769
2,1,N,11,0,2,0,1.106733744857127
1,1,N,10,6,1,1,19.88604433713656
1,1,N,19,2,3,0,1.5694773842597578
1,1,N,11,3,1,0,2.624336361860168
2,1,N,13,2,1,0,0.992864269246538
1,2,N,8,0,3,0,0.6632650279936931
2,6,N,9,0,1,0,0.8241108008867778
1,2,N,16,3,3,0,0.532611154598038
1,1,N,2,0,4,0,4.298840150996471
2,1,N,23,3,4,0,5.427215847709218
2,6,N,10,4,3,0,3.0456161558203547
1,3,N,17,2,3,0,4.081267766455007
2,3,N,12,6,1,1,1.061245072635664
2,2,N,21,1,3,0,1.9869285562765688
2,5,N,15,4,1,0,1.2316594061822357
1,1,N,22,3,1,0,20.83990985170258
2,2,N,20,5,3,1,2.04522815551171
2,2,N,19,1,3,0,0.3054603619096171
