vendor_id,passenger_count,store_and_fwd_flag,pickup_hour,pickup_day_of_week,pickup_month,is_weekend,distance_km,predicted_eta,actual_eta
2,1,N,1,1,5,0,9.529875300275444,2008.882,1251
2,1,N,1,1,5,0,5.044508285537463,1900.9468,922
1,1,N,1,1,5,0,1.0922536035613,231.1361,256
1,1,N,2,1,5,0,5.750404700737427,811.61395,679
1,1,N,2,1,5,0,3.2436750845512883,501.9267,765
2,1,N,2,1,5,0,2.207740838179945,392.54227,419
1,1,N,2,1,5,0,1.6283510997713917,381.18024,415
2,1,N,2,1,5,0,11.034203006346257,1740.098,1572
1,1,N,2,1,5,0,19.984392252115057,1985.7004,2574
2,5,N,2,1,5,0,4.968942007558222,406.53482,764
1,2,N,2,1,5,0,0.8835225143094091,138.16737,277
2,3,N,2,1,5,0,5.992226927171082,3.3365288,902
2,1,N,2,1,5,0,2.176673460356195,281.26236,378
1,2,N,2,1,5,0,1.587277558644449,530.65436,284
2,1,N,2,1,5,0,1.1985300625330717,2197.2007,205
2,1,N,2,1,5,0,2.2485818918311105,1402.6486,659
2,2,N,2,1,5,0,6.136281235357877,915.63806,1467
1,2,N,2,1,5,0,1.5285422008903866,335.10626,352
2,1,N,2,1,5,0,1.2313787514719137,555.43866,311
1,1,N,2,1,5,0,2.5442480366162568,434.25766,440
2,1,N,2,1,5,0,5.67049126151255,873.4408,637
2,6,N,2,1,5,0,0.7496201198783676,535.6698,1532
2,1,N,2,1,5,0,2.243513697989449,1402.6486,665
2,1,N,2,1,5,0,1.6161796112217446,519.89087,486
1,1,N,2,1,5,0,3.435361259421763,526.0539,448
1,2,N,2,1,5,0,1.1356386596023849,201.49362,285
1,1,N,2,1,5,0,1.4149844074044526,278.9873,744
1,1,N,2,1,5,0,7.310509362311988,980.2959,1368
2,1,N,2,1,5,0,0.3132067131462128,143.9539,278
2,1,N,2,1,5,0,2.4683255846975896,350.92996,537
2,1,N,2,1,5,0,7.4850792667157,1517.6005,1985
2,1,N,2,1,5,0,1.5125941372685672,328.38705,282
1,1,N,2,1,5,0,6.4184817980138975,966.4487,666
2,1,N,2,1,5,0,8.776342913532622,1297.8438,1230
1,1,N,2,1,5,0,1.0939107394162422,266.40955,395
1,1,N,2,1,5,0,1.1938173770746985,786.8631,274
1,1,N,2,1,5,0,4.568099231146823,1042.9497,879
2,1,N,2,1,5,0,1.942846664608139,489.6764,443
1,1,N,2,1,5,0,3.056082570581947,458.8023,330
2,1,N,2,1,5,0,0.5246087798386729,224.57947,145
1,2,N,2,1,5,0,23.86908513247055,3422.2136,1951
2,1,N,2,1,5,0,6.574004398257501,960.46985,1056
2,1,N,2,1,5,0,2.1985635766783806,673.2634,327
1,1,N,2,1,5,0,2.936796877473833,427.79834,668
2,3,N,2,1,5,0,6.50065546129338,131.90707,763
1,1,N,2,1,5,0,8.59307150230983,1062.0538,897
2,1,N,2,1,5,0,3.030648434989468,626.1496,489
1,2,N,2,1,5,0,5.17949048762144,757.4092,1177
2,6,N,2,1,5,0,2.096277591344282,551.6741,630
2,6,N,2,1,5,0,11.946604326931643,931.33453,1310
1,1,N,2,1,5,0,5.407172490213458,804.6592,942
1,2,N,2,1,5,0,0.6962650363867272,105.38377,189
2,1,N,2,1,5,0,1.752208415090112,881.57117,364
2,1,N,2,1,5,0,13.52910051593957,1322.0833,1702
2,4,N,2,1,5,0,1.1277753540797262,1086.5128,307
1,1,N,2,1,5,0,5.819620844089491,845.7813,648
2,1,N,2,1,5,0,5.1599536184968855,1898.4338,476
1,1,N,2,1,5,0,5.0317486513304255,1224.1517,599
1,1,N,2,1,5,0,1.5917645410429326,400.77313,300
2,4,N,2,1,5,0,1.189874193286121,2245.2197,244
1,1,N,2,1,5,0,2.2541889579462464,319.80942,564
1,1,N,2,1,5,0,0.7067707506919729,139.88094,137
2,6,N,2,1,5,0,2.9604761362539427,190.37027,222
1,1,Y,2,1,5,0,2.4375825221458265,367.45013,250
1,1,N,3,1,5,0,6.855457004801247,796.4309,986
2,1,N,3,1,5,0,0.929947507462862,16.425291,159
1,1,N,3,1,5,0,2.0383087448412054,508.5342,366
1,1,N,3,1,5,0,14.317871717868808,1266.6493,1868
